Record Number,Name,Job_Id__c,Archdpdx_Migration_Id__c,RecordTypeId,mbfc__Diocese__c,ParentId
1,Albany-Corvallis Vicariate,151,Vicariates_1,012Ps000002fU2cIAE,0017x0000107p0uAAA,0017x0000107zuHAAQ
2,"Beaverton, Suburban Vicariate",151,Vicariates_2,012Ps000002fU2cIAE,0017x0000107p0uAAA,0017x0000107zuHAAQ
3,Columbia County Vicariate,151,Vicariates_3,012Ps000002fU2cIAE,0017x0000107p0uAAA,0017x0000107zuHAAQ
4,Downtown Portland Vicariate,151,Vicariates_4,012Ps000002fU2cIAE,0017x0000107p0uAAA,0017x0000107zuHAAQ
5,"East Portland, Suburban Vicariate",151,Vicariates_5,012Ps000002fU2cIAE,0017x0000107p0uAAA,0017x0000107zuHAAQ
6,Marion County Vicariate,151,Vicariates_6,012Ps000002fU2cIAE,0017x0000107p0uAAA,0017x0000107zuHAAQ
7,Metropolitan Eugene Vicariate,151,Vicariates_7,012Ps000002fU2cIAE,0017x0000107p0uAAA,0017x0000107zuHAAQ
8,Metropolitan Salem Vicariate,151,Vicariates_8,012Ps000002fU2cIAE,0017x0000107p0uAAA,0017x0000107zuHAAQ
9,North Coast Vicariate,151,Vicariates_9,012Ps000002fU2cIAE,0017x0000107p0uAAA,0017x0000107zuHAAQ
10,Northeast Portland Vicariate,151,Vicariates_10,012Ps000002fU2cIAE,0017x0000107p0uAAA,0017x0000107zuHAAQ
11,Santiam Vicariate,151,Vicariates_11,012Ps000002fU2cIAE,0017x0000107p0uAAA,0017x0000107zuHAAQ
12,South Coast Vicariate,151,Vicariates_12,012Ps000002fU2cIAE,0017x0000107p0uAAA,0017x0000107zuHAAQ
13,"South Portland, Suburban Vicariate",151,Vicariates_13,012Ps000002fU2cIAE,0017x0000107p0uAAA,0017x0000107zuHAAQ
14,Southeast Portland Vicariate,151,Vicariates_14,012Ps000002fU2cIAE,0017x0000107p0uAAA,0017x0000107zuHAAQ
15,Southern Oregon Vicariate,151,Vicariates_15,012Ps000002fU2cIAE,0017x0000107p0uAAA,0017x0000107zuHAAQ
16,Tualatin Valley Vicariate,151,Vicariates_16,012Ps000002fU2cIAE,0017x0000107p0uAAA,0017x0000107zuHAAQ
17,"West Portland, Suburban Vicariate",151,Vicariates_17,012Ps000002fU2cIAE,0017x0000107p0uAAA,0017x0000107zuHAAQ
18,Yamhill County Vicariate,151,Vicariates_18,012Ps000002fU2cIAE,0017x0000107p0uAAA,0017x0000107zuHAAQ
