RecordNumber,mbfc__Register_Entry_Type__c,mbfc__Type__c,mbfc__Notation_Type__c,mbfc__Ordination_Type__c,Date,Place,Prelate,mbfc__Matrimonial_Wife__c
2766,Notation,,Notice of Holy Orders,Presbyteral,1997-05-03,,"Diocese of Lokoja, Nigeria",
601,Notation,,Notice of Holy Orders,Presbyteral,1980-09-13,"St. Mary’s Parish, Corvallis",Most Rev. Cornelius Power,
3390,Notation,,Notice of Matrimony,,1991-02-25,,,0
3388,Notation,,Notice of Matrimony,,2013-07-06,"San Pablo Parish, Zapopan, Jalisco, Mexico",,0
1592,Notation,,Proof of Baptism,,2000-09-23,"St. Mary Catholic Church, Eugene, OR",,
1592,Notation,,Notice of Confirmation,,2014-05-09,,,
557,Notation,,Proof of Baptism,,1985-02-11,"Our Lady of Fatima, Karlo, Nigeria",,
557,Notation,,Notice of Confirmation,,1997-04-13,,,
557,Notation,,Notice of Holy Orders,Diaconate,2015-05-23,"Cathedral of the Immaculate Conception, Portland, OR",,
557,Notation,,Notice of Holy Orders,Presbyteral,2016-06-04,"Cathedral of the Immaculate Conception, Portland, OR","Most Rev. Alexander K. Sample, J.C.L., D.D.",
557,Notation,,Notice of Holy Orders,Minor Order: Reader,2013-04-10,,,
557,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2013-04-10,,,
557,Notation,,Notice of Holy Orders,Installation: Candidate,2013-10-24,,,
1584,Notation,,Proof of Baptism,,1985-11-20,Moyo Catholic Parish,,
1584,Notation,,Notice of Confirmation,,1992-08-15,,,
1584,Notation,,Notice of Holy Orders,Presbyteral,2011-08-13,,,
1584,Notation,,Notice of Holy Orders,Minor Order: Reader,2007-11-11,,,
1584,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2008-03-24,,,
672,Notation,,Proof of Baptism,,1976-05-28,"Holy Trinity, Orlu, Nigeria",,
672,Notation,,Notice of Confirmation,,1986-11-16,,,
672,Notation,,Notice of Holy Orders,Diaconate,2011-11-19,"Abbey Church, Mount Angel Abbey, Saint Benedict, OR",,
672,Notation,,Notice of Holy Orders,Presbyteral,2012-06-09,"Cathedral of the Immaculate Conception, Portland, OR",Most Rev. John G. Vlazny,
672,Notation,,Notice of Holy Orders,Minor Order: Reader,2007-03-12,,,
672,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2008-04-04,,,
672,Notation,,Notice of Holy Orders,Installation: Candidate,2009-10-22,,,
523,Notation,,Notice of Holy Orders,Minor Order: Reader,2017-03-16,,,
523,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2018-03-14,,,
3478,Notation,,Proof of Baptism,,2000-01-22,,,
577,Notation,,Notice of Holy Orders,Presbyteral,1983-05-07,"Maryknoll, New York",His Eminence Terence J. Cooke,
558,Notation,,Notice of Holy Orders,Diaconate,2014-07-01,,,
558,Notation,,Notice of Holy Orders,Presbyteral,2014-12-27,,,
213,Notation,,Proof of Baptism,,1931-06-12,"St. Paul Catholic Church, Grosse Pointe Farms MI",,
213,Notation,,Notice of Matrimony,,1950-07-22,,,0
213,Notation,,Notice of Holy Orders,Diaconate,1981-12-06,"Cathedral of the Holy Family, Anchorage AK",,
287,Notation,,Proof of Baptism,,1943-06-27,"St. Rose of Lima, Portland OR",,
287,Notation,,Notice of Matrimony,,1965-12-27,,,152
287,Notation,,Notice of Holy Orders,Diaconate,2000-12-09,"Cathedral of the Immaculate Conception, Portland, OR",,
287,Notation,,Notice of Holy Orders,Minor Order: Reader,1999-10-23,,,
287,Notation,,Notice of Holy Orders,Minor Order: Acolyte,1999-10-23,,,
287,Notation,,Notice of Holy Orders,Installation: Candidate,1999-10-23,,,
624,Notation,,Notice of Holy Orders,Presbyteral,1959-05-23,"Cathedral of the Immaculate Conception, Portland, OR",Most Rev. Edward D. Howard,
307,Notation,,Notice of Matrimony,,1985-07-27,,,0
1595,Notation,,Proof of Baptism,,2001-01-06,"Jesus el Buen Pastor, Guayaquil, Ecuador",,
1595,Notation,,Notice of Confirmation,,2005-10-22,,,
1595,Notation,,Notice of Holy Orders,Minor Order: Reader,2024-03-22,,,
1595,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2025-03-11,,,
1595,Notation,,Notice of Holy Orders,Installation: Candidate,2023-10-18,,,
837,Notation,,Notice of Holy Orders,Presbyteral,1978-05-29,"Melapudur, Tiruchirapalli, India",,
1525,Notation,,Notice of Holy Orders,Presbyteral,1981-11-07,"Cathedral of Chihuahua, Mexico",Most Rev. Adalberto Almeida,
86,Notation,,Proof of Baptism,,1951-08-12,"St. Joseph Church, York PA",,
86,Notation,,Notice of Matrimony,,1988-10-01,,,179
86,Notation,,Notice of Holy Orders,Diaconate,2004-10-16,"Cathedral of the Immaculate Conception, Portland, OR",,
86,Notation,,Notice of Holy Orders,Minor Order: Reader,1975-01-30,,,
86,Notation,,Notice of Holy Orders,Minor Order: Acolyte,1976-02-19,,,
86,Notation,,Notice of Holy Orders,Installation: Candidate,2004-03-20,,,
673,Notation,,Notice of Holy Orders,Presbyteral,1997-07-12,"Cathedral of the Immaculate Conception, Portland, OR",Most Rev. Kenneth D. Steiner,
625,Notation,,Proof of Baptism,,1967-09-03,"St. Cecilia, Beaverton, OR",,
625,Notation,,Notice of Confirmation,,1985-04-16,,,
625,Notation,,Notice of Holy Orders,Diaconate,2008-04-19,"Cathedral of the Immaculate Conception, Portland, OR",,
625,Notation,,Notice of Holy Orders,Presbyteral,2009-06-13,"Cathedral of the Immaculate Conception, Portland, OR",Most Rev. John G. Vlazny,
8,Notation,,Proof of Baptism,,1977-05-29,"St. Aloysius Church, Spokane WA",,
8,Notation,,Notice of Matrimony,,1976-06-12,,,174
8,Notation,,Notice of Holy Orders,Diaconate,1997-11-29,"Cathedral of the Immaculate Conception, Portland, OR",,
8,Notation,,Notice of Holy Orders,Minor Order: Reader,1996-08-03,,,
8,Notation,,Notice of Holy Orders,Minor Order: Acolyte,1996-08-03,,,
8,Notation,,Notice of Holy Orders,Installation: Candidate,1997-07-12,,,
254,Notation,,Proof of Baptism,,1953-02-08,"St Monica, Coos Bay",,
254,Notation,,Notice of Confirmation,,1969-03-30,"St Monica, Coos Bay",,
254,Notation,,Notice of Holy Orders,Diaconate,2007-12-15,"Cathedral of the Immaculate Conception, Portland, OR",,
254,Notation,,Notice of Holy Orders,Presbyteral,2009-06-13,"Cathedral of the Immaculate Conception, Portland, OR",Most Rev. John G. Vlazny,
254,Notation,,Notice of Holy Orders,Minor Order: Reader,2006-03-08,,,
254,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2006-10-18,,,
254,Notation,,Notice of Holy Orders,Installation: Candidate,2007-11-07,,,
815,Notation,,Notice of Holy Orders,Presbyteral,1965-12-18,,,
3334,Notation,,Proof of Baptism,,1987-05-16,"St. George, Seattle, WA",,
3334,Notation,,Notice of Holy Orders,Diaconate,2022-09-24,"St. Ignatius Church, Chestnut Hill, MA",,
3334,Notation,,Notice of Holy Orders,Presbyteral,2023-06-10,"Blessed Sacrament Parish, Hollywood, CA",Most Rev. Gerald F. Kicanas,
3334,Notation,,Notice of Holy Orders,Minor Order: Reader,2015-02-01,,,
752,Notation,,Notice of Holy Orders,Presbyteral,1999-05-22,"Vadasery, India",Rt. Rev. Leon Tharmaraj,
237,Notation,,Proof of Baptism,,1947-02-02,"St. John the Evangelist, Butte MT",,
237,Notation,,Notice of Matrimony,,1970-08-08,,,211
237,Notation,,Notice of Holy Orders,Diaconate,2006-12-09,"Cathedral of the Immaculate Conception, Portland, OR",,
237,Notation,,Notice of Holy Orders,Minor Order: Reader,2002-10-26,,,
237,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2002-10-26,,,
237,Notation,,Notice of Holy Orders,Installation: Candidate,2005-11-05,,,
1552,Notation,,Proof of Baptism,,2000-07-02,"St. Bernard Catholic Church, Scio, OR",,
1552,Notation,,Notice of Confirmation,,2015-04-26,,,
674,Notation,,Notice of Holy Orders,Presbyteral,2012-06-30,"Ars, France",Cardinal Robert Sarah,
5,Notation,,Notice of Matrimony,,1989-02-04,,,0
789,Notation,,Notice of Holy Orders,Presbyteral,1997-05-10,"Milano, Italia",Cardinal Fco. Coccopalmerio,
782,Notation,,Notice of Holy Orders,Presbyteral,1998-07-26,"Kitanga Parish, Kabale Diocese",Rt. Rev. Robert M. Gay,
2096,Notation,,Notice of Holy Orders,Presbyteral,2011-03-10,,,
559,Notation,,Notice of Holy Orders,Presbyteral,1992-09-12,Ecclesiastical Province of Tororo -Uganda,,
753,Notation,,Notice of Holy Orders,Presbyteral,1989-07-15,"Cathedral of the Immaculate Conception, Portland, OR",Most Rev. William J. Levada,
838,Notation,,Notice of Holy Orders,Presbyteral,2015-06-05,"Cathedral of the Immaculate Conception, Portland, OR","Most Rev. Alexander K. Sample, J.C.L., D.D.",
3022,Notation,,Notice of Holy Orders,Diaconate,2023-04-15,"Our Lady of Guadalupe Abbey, Carlton, OR",,
3022,Notation,,Notice of Holy Orders,Presbyteral,2023-10-28,"Our Lady of Guadalupe Abbey, Carlton, OR",Most Rev. John Vlazny,
3022,Notation,,Notice of Holy Orders,Minor Order: Reader,2022-11-01,,,
3022,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2022-12-08,,,
924,Notation,,Notice of Holy Orders,Presbyteral,1941-06-07,"St. Mary’s Cathedral, San Francisco, CA",,
2082,Notation,,Notice of Matrimony,,2008-12-27,,,0
675,Notation,,Notice of Holy Orders,Presbyteral,1988-07-03,"Moshi, Tanzania",Amadeus Misarikie,
1538,Notation,,Notice of Holy Orders,Presbyteral,2014-05-23,"Holy Family Parish, Yakima, WA",Most Rev. Joseph J. Tyson,
816,Notation,,Notice of Holy Orders,Presbyteral,1994-06-25,"Cathedral of the Immaculate Conception, Portland, OR",Most Rev. William J. Levada,
46,Notation,,Proof of Baptism,,1942-04-19,"St. Mary, Corvallis OR",,
46,Notation,,Notice of Holy Orders,Diaconate,2012-06-29,"Abbey Church, Mount Angel Abbey, Saint Benedict, OR",,
46,Notation,,Notice of Holy Orders,Minor Order: Reader,2006-10-25,,,
46,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2006-10-25,,,
754,Notation,,Notice of Holy Orders,Presbyteral,1998-06-12,"OLSU Church, Milwaukee, WI","Most Rev. George V. Murry, SJ",
245,Notation,,Notice of Matrimony,,1980-02-03,,,0
755,Notation,,Notice of Holy Orders,Presbyteral,2015-06-05,"Cathedral of the Immaculate Conception, Portland, OR","Most Rev. Alexander K. Sample, J.C.L., D.D.",
1528,Notation,,Notice of Matrimony,,1983-04-16,"St. Patrick Parish, Pasco, WA",,1527
1527,Notation,,Proof of Baptism,,1959-12-20,"St. Therese Parish, Portland, OR",,
1527,Notation,,Notice of Confirmation,,1974-05-23,,,
1527,Notation,,Notice of Matrimony,,1983-04-16,"St. Patrick Parish, Pasco, WA",,1528
1527,Notation,,Notice of Holy Orders,Diaconate,2023-10-21,"Cathedral of the Immaculate Conception, Portland, OR",,
1527,Notation,,Notice of Holy Orders,Minor Order: Reader,2022-05-22,,,
1527,Notation,,Notice of Holy Orders,Minor Order: Acolyte,2022-05-22,,,
1527,Notation,,Notice of Holy Orders,Installation: Candidate,2023-03-26,,,
931,Notation,,Notice of Holy Orders,Diaconate,1988-08-28,"Notre Dame, IN",,
931,Notation,,Notice of Holy Orders,Presbyteral,1989-04-01,"Notre Dame, IN",,
2728,Notation,,Notice of Holy Orders,Diaconate,2015-03-25,,,
2728,Notation,,Notice of Holy Orders,Presbyteral,2015-12-08,"Bishop Ruperto C. Santos, Bishop of Balanga, Philippines",,
143,Notation,,Notice of Matrimony,,1991-09-28,,,0
231,Notation,,Notice of Matrimony,,1982-11-24,,,0
863,Notation,,Notice of Holy Orders,Presbyteral,1984-06-22,,"Thomas Cajetan Kelly, OP",
