Record Number,mbfc__Custom_Title__c,ADPDX_Archdiocesan_Assignment__c,Duty_Load__c,mbfc__Start_Date__c,mbfc__Completion_Date__c,Account_Ext_Id,mbfc__Person__r,mbfc__Context__r,mbfc__Use_Custom_Title__c,Archdpdx_Migration_Id__c,Archdpdx_Job_Id__c
3515,Presbyteral Council Rep,True,Part Time,2024-01-01,,Deanery_16,{'Adpdx_Migration_Id__c': '780'},{'Adpdx_Migration_Id__c': 'Deanery_16'},True,3515,49
3514,Presbyteral Council Rep,True,Part Time,2024-01-01,,Deanery_3,{'Adpdx_Migration_Id__c': '762'},{'Adpdx_Migration_Id__c': 'Deanery_3'},True,3514,49
3512,Deacon,True,Full Time,2024-02-19,,Church_83,{'Adpdx_Migration_Id__c': '3321'},{'Adpdx_Migration_Id__c': 'Church_83'},True,3512,49
3511,Special Assignment,True,Full Time,2024-02-10,,Organization_21,{'Adpdx_Migration_Id__c': '803'},{'Adpdx_Migration_Id__c': 'Organization_21'},True,3511,49
3510,Development Operations Associate,,,2024-01-16,,Organization_1,{'Adpdx_Migration_Id__c': '3317'},{'Adpdx_Migration_Id__c': 'Organization_1'},True,3510,49
3509,Presbyteral Council Chair,True,Part Time,2024-01-03,,Organization_21,{'Adpdx_Migration_Id__c': '664'},{'Adpdx_Migration_Id__c': 'Organization_21'},True,3509,49
3508,In Residence,True,Full Time,2024-01-15,,Religious_81,{'Adpdx_Migration_Id__c': '3316'},{'Adpdx_Migration_Id__c': 'Religious_81'},True,3508,49
3507,Presbyteral Council Rep,True,Part Time,2024-01-10,,Deanery_14,{'Adpdx_Migration_Id__c': '575'},{'Adpdx_Migration_Id__c': 'Deanery_14'},True,3507,49
3506,Special Assignment,True,Full Time,2023-12-01,2023-12-31,Organization_21,{'Adpdx_Migration_Id__c': '509'},{'Adpdx_Migration_Id__c': 'Organization_21'},True,3506,49
3505,Pasotral Assignment,True,Full Time,2024-01-01,,Organization_22,{'Adpdx_Migration_Id__c': '3019'},{'Adpdx_Migration_Id__c': 'Organization_22'},True,3505,49
3504,Director,True,Full Time,2019-06-30,,Religious_3,{'Adpdx_Migration_Id__c': '1578'},{'Adpdx_Migration_Id__c': 'Religious_3'},True,3504,49
3503,Director of Catholic Education,,,2024-01-01,,Organization_1,{'Adpdx_Migration_Id__c': '3315'},{'Adpdx_Migration_Id__c': 'Organization_1'},True,3503,49
3502,Parish Support Accountant,,,2024-01-01,,Organization_1,{'Adpdx_Migration_Id__c': '3314'},{'Adpdx_Migration_Id__c': 'Organization_1'},True,3502,49
3501,Administrative Assistant,,,2023-01-01,,School_34,{'Adpdx_Migration_Id__c': '3313'},{'Adpdx_Migration_Id__c': 'School_34'},True,3501,49
3500,Office Manager,,,2023-01-01,,School_52,{'Adpdx_Migration_Id__c': '3312'},{'Adpdx_Migration_Id__c': 'School_52'},True,3500,49
3499,Office,,,2023-01-01,,School_17,{'Adpdx_Migration_Id__c': '3311'},{'Adpdx_Migration_Id__c': 'School_17'},True,3499,49
3498,Administrative Assistant,,,2023-01-01,,School_36,{'Adpdx_Migration_Id__c': '3310'},{'Adpdx_Migration_Id__c': 'School_36'},True,3498,49
3497,Administrative Assistant,,,2023-01-01,,School_37,{'Adpdx_Migration_Id__c': '3309'},{'Adpdx_Migration_Id__c': 'School_37'},True,3497,49
3494,Administrative Assistant,,,2023-01-01,,School_38,{'Adpdx_Migration_Id__c': '3308'},{'Adpdx_Migration_Id__c': 'School_38'},True,3494,49
3493,Office Support,,,2023-01-01,,School_39,{'Adpdx_Migration_Id__c': '1931'},{'Adpdx_Migration_Id__c': 'School_39'},True,3493,49
3492,Registrar,,,2023-01-01,,School_43,{'Adpdx_Migration_Id__c': '1909'},{'Adpdx_Migration_Id__c': 'School_43'},True,3492,49
3491,Assistant Administrator,,,2023-01-01,,School_53,{'Adpdx_Migration_Id__c': '3307'},{'Adpdx_Migration_Id__c': 'School_53'},True,3491,49
3490,Registrar & Principal’s Assistant,,,2023-01-01,,School_13,{'Adpdx_Migration_Id__c': '3306'},{'Adpdx_Migration_Id__c': 'School_13'},True,3490,49
3489,Registrar/Executive Assistant,,,2023-01-01,,School_12,{'Adpdx_Migration_Id__c': '3305'},{'Adpdx_Migration_Id__c': 'School_12'},True,3489,49
3487,Administrative Assistant,,,2023-01-01,,School_3,{'Adpdx_Migration_Id__c': '3304'},{'Adpdx_Migration_Id__c': 'School_3'},True,3487,49
3486,Main Office Administrator,,,2023-01-01,,School_32,{'Adpdx_Migration_Id__c': '3303'},{'Adpdx_Migration_Id__c': 'School_32'},True,3486,49
3485,Secretary,,,2023-01-01,,School_31,{'Adpdx_Migration_Id__c': '3302'},{'Adpdx_Migration_Id__c': 'School_31'},True,3485,49
