RecordTypeId,mbfc__Person__c,mbfc__Completion_Date__c,mbfc__Start_Date__c,mbfc__Context__c,mbfc__Category__c,mbfc__Affiliation__c,Archdpdx_Migration_Id__c
012Dx0000003p5DIAQ,003Dx00000nKiqAIAS,,2021-11-02,001Dx00001HwDsgIAF,Faculties,Faculties (Confessional),003dx00000nkiqaias20211102faculties(confessional)
012Dx0000003p5DIAQ,003Dx00000nKiqFIAS,2010-06-30,,001Dx00001HwDsgIAF,Faculties,Faculties (Withdrawn),003dx00000nkiqfias20100630faculties(withdrawn)
012Dx0000003p5DIAQ,003Dx00000nKiqRIAS,,2016-06-04,001Dx00001HwDsgIAF,Faculties,Faculties (General),003dx00000nkiqrias20160604faculties(general)
012Dx0000003p5AIAQ,003Dx00000nKiqRIAS,2013-04-10,,001Dx00001HwDsgIAF,Installations,Reader Installation,003dx00000nkiqrias20130410readerinstallation
012Dx0000003p5AIAQ,003Dx00000nKiqRIAS,2013-04-10,,001Dx00001HwDsgIAF,Installations,Acolyte Installation,003dx00000nkiqrias20130410acolyteinstallation
012Dx0000003p5AIAQ,003Dx00000nKiqRIAS,2013-10-24,,001Dx00001HwDsgIAF,Installations,Candidate Installation,003dx00000nkiqrias20131024candidateinstallation
012Dx0000003p5DIAQ,003Dx00000nKiqUIAS,,2019-06-01,001Dx00001HwDsgIAF,Faculties,Faculties (General),003dx00000nkiquias20190601faculties(general)
012Dx0000003p5AIAQ,003Dx00000nKiqUIAS,2007-11-11,,001Dx00001HwDsgIAF,Installations,Reader Installation,003dx00000nkiquias20071111readerinstallation
012Dx0000003p5AIAQ,003Dx00000nKiqUIAS,2008-03-24,,001Dx00001HwDsgIAF,Installations,Acolyte Installation,003dx00000nkiquias20080324acolyteinstallation
012Dx0000003p5DIAQ,003Dx00000nKiqVIAS,,2012-06-09,001Dx00001HwDsgIAF,Faculties,Faculties (General),003dx00000nkiqvias20120609faculties(general)
012Dx0000003p5AIAQ,003Dx00000nKiqVIAS,2007-03-12,,001Dx00001HwDsgIAF,Installations,Reader Installation,003dx00000nkiqvias20070312readerinstallation
012Dx0000003p5AIAQ,003Dx00000nKiqVIAS,2008-04-04,,001Dx00001HwDsgIAF,Installations,Acolyte Installation,003dx00000nkiqvias20080404acolyteinstallation
012Dx0000003p5AIAQ,003Dx00000nKiqVIAS,2009-10-22,,001Dx00001HwDsgIAF,Installations,Candidate Installation,003dx00000nkiqvias20091022candidateinstallation
012Dx0000003p5AIAQ,003Dx00000nKiqXIAS,2017-03-16,,001Dx00001HwDsgIAF,Installations,Reader Installation,003dx00000nkiqxias20170316readerinstallation
012Dx0000003p5AIAQ,003Dx00000nKiqXIAS,2018-03-14,,001Dx00001HwDsgIAF,Installations,Acolyte Installation,003dx00000nkiqxias20180314acolyteinstallation
012Dx0000003p5AIAQ,003Dx00000nKiqcIAC,2005-12-16,,001Dx00001HwFExIAN,Ecclesial Affiliations,Incardinated,003dx00000nkiqciac20051216incardinated
012Dx0000003p5DIAQ,003Dx00000nKiqiIAC,,2020-03-30,001Dx00001HwDsgIAF,Faculties,Faculties (Confessional),003dx00000nkiqiiac20200330faculties(confessional)
012Dx0000003p5DIAQ,003Dx00000nKiqkIAC,,2002-01-07,001Dx00001HwDsgIAF,Faculties,Faculties,003dx00000nkiqkiac20020107faculties
012Dx0000003p5DIAQ,003Dx00000nKiqnIAC,,2000-12-09,001Dx00001HwDsgIAF,Faculties,Faculties (Diaconal),003dx00000nkiqniac20001209faculties(diaconal)
012Dx0000003p5AIAQ,003Dx00000nKiqnIAC,1999-10-23,,001Dx00001HwDsgIAF,Installations,Reader Installation,003dx00000nkiqniac19991023readerinstallation
012Dx0000003p5AIAQ,003Dx00000nKiqnIAC,1999-10-23,,001Dx00001HwDsgIAF,Installations,Acolyte Installation,003dx00000nkiqniac19991023acolyteinstallation
012Dx0000003p5AIAQ,003Dx00000nKiqnIAC,1999-10-23,,001Dx00001HwDsgIAF,Installations,Candidate Installation,003dx00000nkiqniac19991023candidateinstallation
012Dx0000003p5AIAQ,003Dx00000nKiqrIAC,2023-10-18,,001Dx00001HwDsgIAF,Installations,Candidate Installation,003dx00000nkiqriac20231018candidateinstallation
012Dx0000003p5DIAQ,003Dx00000nKir0IAC,,2020-07-01,001Dx00001HwDsgIAF,Faculties,Faculties (Confessional),003dx00000nkir0iac20200701faculties(confessional)
012Dx0000003p5DIAQ,003Dx00000nKir2IAC,,2004-11-01,001Dx00001HwDsgIAF,Faculties,Faculties (Diaconal),003dx00000nkir2iac20041101faculties(diaconal)
012Dx0000003p5AIAQ,003Dx00000nKir2IAC,1975-01-30,,001Dx00001HwDsgIAF,Installations,Reader Installation,003dx00000nkir2iac19750130readerinstallation
012Dx0000003p5AIAQ,003Dx00000nKir2IAC,1976-02-19,,001Dx00001HwDsgIAF,Installations,Acolyte Installation,003dx00000nkir2iac19760219acolyteinstallation
012Dx0000003p5AIAQ,003Dx00000nKir2IAC,2004-03-20,,001Dx00001HwDsgIAF,Installations,Candidate Installation,003dx00000nkir2iac20040320candidateinstallation
012Dx0000003p5AIAQ,003Dx00000nKir3IAC,2020-07-01,,001Dx00001HwFF2IAN,Ecclesial Affiliations,Excardinated,003dx00000nkir3iac20200701excardinated
012Dx0000003p5DIAQ,003Dx00000nKir4IAC,,2009-06-13,001Dx00001HwDsgIAF,Faculties,Faculties (General),003dx00000nkir4iac20090613faculties(general)
012Dx0000003p5DIAQ,003Dx00000nKir8IAC,,1997-11-29,001Dx00001HwDsgIAF,Faculties,Faculties (Diaconal),003dx00000nkir8iac19971129faculties(diaconal)
012Dx0000003p5AIAQ,003Dx00000nKir8IAC,1996-08-03,,001Dx00001HwDsgIAF,Installations,Reader Installation,003dx00000nkir8iac19960803readerinstallation
012Dx0000003p5AIAQ,003Dx00000nKir8IAC,1996-08-03,,001Dx00001HwDsgIAF,Installations,Acolyte Installation,003dx00000nkir8iac19960803acolyteinstallation
012Dx0000003p5AIAQ,003Dx00000nKir8IAC,1997-07-12,,001Dx00001HwDsgIAF,Installations,Candidate Installation,003dx00000nkir8iac19970712candidateinstallation
012Dx0000003p5DIAQ,003Dx00000nKirCIAS,,2009-06-13,001Dx00001HwDsgIAF,Faculties,Faculties (General),003dx00000nkircias20090613faculties(general)
012Dx0000003p5AIAQ,003Dx00000nKirCIAS,2006-03-08,,001Dx00001HwDsgIAF,Installations,Reader Installation,003dx00000nkircias20060308readerinstallation
012Dx0000003p5AIAQ,003Dx00000nKirCIAS,2006-10-18,,001Dx00001HwDsgIAF,Installations,Acolyte Installation,003dx00000nkircias20061018acolyteinstallation
012Dx0000003p5AIAQ,003Dx00000nKirCIAS,2007-11-07,,001Dx00001HwDsgIAF,Installations,Candidate Installation,003dx00000nkircias20071107candidateinstallation
012Dx0000003p5DIAQ,003Dx00000nKirDIAS,,2011-01-01,001Dx00001HwDsgIAF,Faculties,Faculties (Confessional),003dx00000nkirdias20110101faculties(confessional)
012Dx0000003p5AIAQ,003Dx00000nKirFIAS,2017-03-01,,001Dx00001HwFF7IAN,Ecclesial Affiliations,Incardinated,003dx00000nkirfias20170301incardinated
012Dx0000003p5DIAQ,003Dx00000nKirIIAS,,2006-12-09,001Dx00001HwDsgIAF,Faculties,Faculties (Diaconal),003dx00000nkiriias20061209faculties(diaconal)
012Dx0000003p5AIAQ,003Dx00000nKirIIAS,2002-10-26,,001Dx00001HwDsgIAF,Installations,Reader Installation,003dx00000nkiriias20021026readerinstallation
012Dx0000003p5AIAQ,003Dx00000nKirIIAS,2002-10-26,,001Dx00001HwDsgIAF,Installations,Acolyte Installation,003dx00000nkiriias20021026acolyteinstallation
012Dx0000003p5AIAQ,003Dx00000nKirIIAS,2005-11-05,,001Dx00001HwDsgIAF,Installations,Candidate Installation,003dx00000nkiriias20051105candidateinstallation
012Dx0000003p5DIAQ,003Dx00000nKirPIAS,2019-12-19,,001Dx00001HwDsgIAF,Faculties,Faculties (Withdrawn),003dx00000nkirpias20191219faculties(withdrawn)
012Dx0000003p5DIAQ,003Dx00000nKirQIAS,2018-12-18,,001Dx00001HwDsgIAF,Faculties,Faculties (Withdrawn),003dx00000nkirqias20181218faculties(withdrawn)
012Dx0000003p5DIAQ,003Dx00000nKirZIAS,,2008-07-01,001Dx00001HwDsgIAF,Faculties,Faculties (Confessional),003dx00000nkirzias20080701faculties(confessional)
012Dx0000003p5DIAQ,003Dx00000nKirnIAC,,1989-07-15,001Dx00001HwDsgIAF,Faculties,Faculties (General),003dx00000nkirniac19890715faculties(general)
012Dx0000003p5DIAQ,003Dx00000nKirqIAC,,2015-06-05,001Dx00001HwDsgIAF,Faculties,Faculties (General),003dx00000nkirqiac20150605faculties(general)
012Dx0000003p5DIAQ,003Dx00000nKirvIAC,,2023-10-28,001Dx00001HwDsgIAF,Faculties,Faculties (Confessional),003dx00000nkirviac20231028faculties(confessional)
012Dx0000003p5AIAQ,003Dx00000nKirvIAC,2022-11-01,,001Dx00001HwDsgIAF,Installations,Reader Installation,003dx00000nkirviac20221101readerinstallation
012Dx0000003p5AIAQ,003Dx00000nKirvIAC,2022-12-08,,001Dx00001HwDsgIAF,Installations,Acolyte Installation,003dx00000nkirviac20221208acolyteinstallation
012Dx0000003p5DIAQ,003Dx00000nKis5IAC,,2016-08-01,001Dx00001HwDsgIAF,Faculties,Faculties (General),003dx00000nkis5iac20160801faculties(general)
012Dx0000003p5DIAQ,003Dx00000nKisAIAS,,2020-01-02,001Dx00001HwDsgIAF,Faculties,Faculties (Confessional),003dx00000nkisaias20200102faculties(confessional)
012Dx0000003p5DIAQ,003Dx00000nKisCIAS,,1994-06-25,001Dx00001HwDsgIAF,Faculties,Faculties (General),003dx00000nkiscias19940625faculties(general)
012Dx0000003p5DIAQ,003Dx00000nKisHIAS,,2012-06-29,001Dx00001HwDsgIAF,Faculties,Faculties (Diaconal),003dx00000nkishias20120629faculties(diaconal)
012Dx0000003p5AIAQ,003Dx00000nKisHIAS,2006-10-25,,001Dx00001HwDsgIAF,Installations,Reader Installation,003dx00000nkishias20061025readerinstallation
012Dx0000003p5AIAQ,003Dx00000nKisHIAS,2006-10-25,,001Dx00001HwDsgIAF,Installations,Acolyte Installation,003dx00000nkishias20061025acolyteinstallation
012Dx0000003p5DIAQ,003Dx00000nKisVIAS,,2023-02-01,001Dx00001HwDsgIAF,Faculties,Faculties (Confessional),003dx00000nkisvias20230201faculties(confessional)
012Dx0000003p5DIAQ,003Dx00000nKisdIAC,,2015-06-05,001Dx00001HwDsgIAF,Faculties,Faculties (General),003dx00000nkisdiac20150605faculties(general)
012Dx0000003p5DIAQ,003Dx00000nKishIAC,,2023-10-21,001Dx00001HwDsgIAF,Faculties,Faculties (Diaconal),003dx00000nkishiac20231021faculties(diaconal)
012Dx0000003p5AIAQ,003Dx00000nKishIAC,2022-05-22,,001Dx00001HwDsgIAF,Installations,Reader Installation,003dx00000nkishiac20220522readerinstallation
012Dx0000003p5AIAQ,003Dx00000nKishIAC,2022-05-22,,001Dx00001HwDsgIAF,Installations,Acolyte Installation,003dx00000nkishiac20220522acolyteinstallation
012Dx0000003p5AIAQ,003Dx00000nKishIAC,2023-03-26,,001Dx00001HwDsgIAF,Installations,Candidate Installation,003dx00000nkishiac20230326candidateinstallation
012Dx0000003p5DIAQ,003Dx00000nKislIAC,,2021-01-19,001Dx00001HwDsgIAF,Faculties,Faculties (General),003dx00000nkisliac20210119faculties(general)
012Dx0000003p5DIAQ,003Dx00000nKisrIAC,,2021-02-22,001Dx00001HwDsgIAF,Faculties,Faculties (Confessional),003dx00000nkisriac20210222faculties(confessional)
012Dx0000003p5DIAQ,003Dx00000nKiswIAC,,2014-07-01,001Dx00001HwDsgIAF,Faculties,Faculties (General),003dx00000nkiswiac20140701faculties(general)
012Dx0000003p5DIAQ,003Dx00000nKiszIAC,,2013-06-08,001Dx00001HwDsgIAF,Faculties,Faculties (General),003dx00000nkisziac20130608faculties(general)
012Dx0000003p5AIAQ,003Dx00000nKit0IAC,1996-11-03,,001Dx00001HwDsgIAF,Installations,Reader Installation,003dx00000nkit0iac19961103readerinstallation
012Dx0000003p5AIAQ,003Dx00000nKit0IAC,1996-11-03,,001Dx00001HwDsgIAF,Installations,Acolyte Installation,003dx00000nkit0iac19961103acolyteinstallation
012Dx0000003p5AIAQ,003Dx00000nKit0IAC,1997-07-12,,001Dx00001HwDsgIAF,Installations,Candidate Installation,003dx00000nkit0iac19970712candidateinstallation
012Dx0000003p5AIAQ,003Dx00000nKit2IAC,2001-09-08,,001Dx00001HwDsgIAF,Installations,Reader Installation,003dx00000nkit2iac20010908readerinstallation
012Dx0000003p5AIAQ,003Dx00000nKit2IAC,2001-09-08,,001Dx00001HwDsgIAF,Installations,Acolyte Installation,003dx00000nkit2iac20010908acolyteinstallation
012Dx0000003p5AIAQ,003Dx00000nKit2IAC,2001-09-08,,001Dx00001HwDsgIAF,Installations,Candidate Installation,003dx00000nkit2iac20010908candidateinstallation
012Dx0000003p5DIAQ,003Dx00000nKit9IAC,,2023-07-01,001Dx00001HwDsgIAF,Faculties,Faculties (General),003dx00000nkit9iac20230701faculties(general)
012Dx0000003p5DIAQ,003Dx00000nKitBIAS,,2011-01-01,001Dx00001HwDsgIAF,Faculties,Faculties (Confessional),003dx00000nkitbias20110101faculties(confessional)
012Dx0000003p5DIAQ,003Dx00000nKitGIAS,,2019-08-01,001Dx00001HwDsgIAF,Faculties,Faculties (Confessional),003dx00000nkitgias20190801faculties(confessional)
012Dx0000003p5DIAQ,003Dx00000nKitKIAS,,1999-06-12,001Dx00001HwDsgIAF,Faculties,Faculties (General),003dx00000nkitkias19990612faculties(general)
