,Name,Formal_Name__c,RecordTypeId,mbfc__Church_Type__c,mbfc__Deanery__c,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,Phone,Fax,mbfc__Email__c,Website,mbfc__Mass_Times__c,mbfc__Abbreviation__c,mbfc__Religious_Suffix__c,mbfc__Type_Members__c,Description,Archdiocese_Assigns_Clergy__c,mbfc__Non_Latin__c,Disabled_Access__c,Locator_Description__c,Parent_Parish__c,mbfc__Date_Established__c,County__c,Sanctuary_Capacity__c,Religious_Secular_Order__c,Pontifical_or_Diocesan_Order__c,Archdiocesan_School_Code__c,Grades_Provided__c,Job_Id__c,Archdpdx_Migration_Id__c,mbfc__Organization_Type__c,ParentId
0,Pastoral Center,Pastoral Center,012Ps000002fU2eIAE,,,2838 E Burnside St,Portland,OR,97214,,503-234-5334,503-234-2545,commdir@archdpdx.org,http://www.archdpdx.org/,<p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>,,,,,True,False,False,,,,,,,,,,152,Offices_1,,
1,Catholic Cemeteries,Catholic Cemeteries,012Ps000002fU2eIAE,,,333 SW Skyline Blvd,Portland,OR,97221,,503-292-6621,,,http://www.ccpdxor.com/,<p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>,,,,,False,False,False,,,,,,,,,,152,Offices_4,,
2,Griffin Center,Griffin Center,012Ps000002fU2eIAE,,,11957 SE Fuller Rd,Milwaukie,OR,97222,,503-652-7476,,hwycoff@archdpdx.org,http://www.griffincenterportland.org/,<p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>,,,,,False,False,False,,,,,,,,,,152,Offices_6,,
3,Providence Portland Medical Center,Providence Portland Medical Center,012Ps000002fU2eIAE,,,4805 NE Glisan St,Portland,OR,97213,,503-215-6833,,,,<p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>,,,,,True,False,False,,,,,,,,,,152,Offices_11,,
4,Providence St. Vincent Medical Center,Providence St. Vincent Medical Center,012Ps000002fU2eIAE,,,9205 SW Barnes Rd,Portland,OR,97213,,503-216-2261,,,,<p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>,,,,,True,False,False,,,,,,,,,,152,Offices_12,,
5,National Sanctuary of Our Sorrowful Mother (The Grotto),National Sanctuary of Our Sorrowful Mother (The Grotto),012Ps000002fU2eIAE,,,PO Box 20008,Portland,OR,97294,,503-254-7371,503-254-7948,office@thegrotto.org,https://thegrotto.org/,<p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>,,,,,False,False,False,8840 NE Skidmore St,,,,,,,,,152,Offices_14,,
6,Southern Oregon VA Rehabilitation Center,Southern Oregon VA Rehabilitation Center,012Ps000002fU2eIAE,,,8495 Crater Lake Hwy,White City,OR,97503,,541-826-2111 x3318,,,https://www.southernoregon.va.gov/index.asp,<p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>,,,,,False,False,False,,,,,,,,,,152,Offices_18,,
7,Clergy,Clergy,012Ps000002fU2eIAE,,,2838 E Burnside St,Portland,OR,97214,,503-233-8368,503-230-1477,clergy@archdpdx.org,http://www.archdpdx.org/vicar-for-clergy,<p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>,,,,,True,False,False,,,,,,,,,,152,Offices_21,,
8,Vocations,Vocations,012Ps000002fU2eIAE,,,2838 E Burnside St,Portland,OR,97214,,503-233-8368,503-230-1477,vocations@archdpdx.org,https://www.archdpdxvocations.org/,<p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>,,,,,True,False,False,,,,,,,,,,152,Offices_22,,
9,Our Lady of Peace Retreat,Our Lady of Peace Retreat,012Ps000002fU2eIAE,,,3600 SW 170th Ave,Beaverton,OR,97003,,503-649-7127,503-259-9507,sisters@olpretreat.org,http://olpretreat.org/,<p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>,,,,,False,False,False,,,,,,,,,,152,Offices_23,,
10,St John Vianney Residence,St John Vianney Residence,012Ps000002fU2eIAE,,,4565 SW St. John Vianney Way,Beaverton,OR,97007,,503-644-9806,,,,<p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>,,,,,False,False,False,Valley Catholic Campus behind Maryville and Cemetery,,,,,,,,,152,Offices_26,,
11,Father Bernard Youth Center,Father Bernard Youth Center,012Ps000002fU2eIAE,,,PO Box 790,Mount Angel,OR,97362,,503-845-4097,,,https://fbyc.info/,<p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>,,,,,False,False,False,980 S Main St,,,,,,,,,152,Offices_27,,
12,PeaceHealth Sacred Heart Medical Center,PeaceHealth Sacred Heart Medical Center,012Ps000002fU2eIAE,,,1255 Hilyard St,Eugene,OR,97401,,541-686-7300,,,https://www.peacehealth.org/sacred-heart-university-district,<p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>,,,,,True,False,False,,,,,,,,,,152,Offices_28,,
13,Diaconate,Diaconate,012Ps000002fU2eIAE,,,"Pastoral Center
2838 E Burnside St",Portland,OR,97214,,503-233-8337,,bdiehm@archdpdx.org,https://deacons.archdpdx.org/,<p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>,,,,,True,False,False,,,,,,,,,,152,Offices_32,,
14,Department of Veterans’ Affairs Medical Center,Department of Veterans’ Affairs Medical Center,012Ps000002fU2eIAE,,,PO Box 1034,Portland,OR,97207,,503-220-8362 x5702,,,,<p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>,,,,,False,False,False,,,,,,,,,,152,Offices_33,,
15,Oregon Health Sciences University,Oregon Health Sciences University,012Ps000002fU2eIAE,,,3181 SW Sam Jackson Park Rd,Portland,OR,97239,,503-222-2168,,,,<p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>,,,,,True,False,False,,,,,,,,,,152,Offices_34,,
16,Lane County Adult Corrections,Lane County Adult Corrections,012Ps000002fU2eIAE,,,101 W Fifth Ave,Eugene,OR,97401,,541-682-2174,,,,<p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>,,,,,True,False,False,,,,,,,,,,152,Offices_35,,
17,Shutter Creek Correctional Institution,Shutter Creek Correctional Institution,012Ps000002fU2eIAE,,,95200 Shutters Landing Ln,North Bend,OR,97459,,541-756-6666,541-756-6888,,,<p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>,,,,,True,False,False,,,,,,,,,,152,Offices_36,,
18,U.S. Veterans’ Administration Hospital,U.S. Veterans’ Administration Hospital,012Ps000002fU2eIAE,,,913 NW Garden Valley Blvd,Roseburg,OR,97470,,541-440-1000,,,,<p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>,,,,,False,False,False,,,,,,,,,,152,Offices_37,,
19,Mill Creek Correctional Facility,Mill Creek Correctional Facility,012Ps000002fU2eIAE,,,5465 Turner Rd SE,Salem,OR,97317,,503-378-2601,,,,<p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>,,,,,True,False,False,,,,,,,,,,152,Offices_38,,
20,Oregon State Correctional Institution,Oregon State Correctional Institution,012Ps000002fU2eIAE,,,3405 Deer Park Dr SE,Salem,OR,97310,,503-373-0100,,,,<p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>,,,,,True,False,False,,,,,,,,,,152,Offices_39,,
21,Oregon State Penitentiary,Oregon State Penitentiary,012Ps000002fU2eIAE,,,2605 State St,Salem,OR,97310,,503-373-1673,,,,<p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>,,,,,True,False,False,,,,,,,,,,152,Offices_40,,
22,Santiam Correctional Institution,Santiam Correctional Institution,012Ps000002fU2eIAE,,,4005 Aumsville Hwy SE,Salem,OR,97301,,503-378-2144,,,,<p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>,,,,,True,False,False,,,,,,,,,,152,Offices_41,,
23,Federal Correctional Institution Sheridan,Federal Correctional Institution Sheridan,012Ps000002fU2eIAE,,,27072 Ballston Rd,Sheridan,OR,97378,,503-843-6357,,,,<p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>,,,,,True,False,False,,,,,,,,,,152,Offices_42,,
24,Coffee Creek Correctional Facility,Coffee Creek Correctional Facility,012Ps000002fU2eIAE,,,24499 SW Grahams Ferry Rd,Willsonville,OR,97070,,503-570-6604,503-570-6617,,,<p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>,,,,,True,False,False,,,,,,,,,,152,Offices_43,,
25,MacLaren Youth Correctional Facility,MacLaren Youth Correctional Facility,012Ps000002fU2eIAE,,,2630 N Pacific Hwy,Woodburn,OR,97071,,503-981-9531 x315,503-982-4414,,,<p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>,,,,,True,False,False,,,,,,,,,,152,Offices_44,,
26,Providence Medford Medical Center,Providence Medford Medical Center,012Ps000002fU2eIAE,,,1111 Crater Lake Ave,Medford,OR,97504,,541-732-5000,,,,<p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>,,,,,False,False,False,,,,,,,,,,152,Offices_53,,
27,Providence Seaside Hospital,Providence Seaside Hospital,012Ps000002fU2eIAE,,,725 S Wahanna Rd,Seaside,OR,97138,,503-717-7000,,,https://oregon.providence.org/location-directory/p/providence-seaside-hospi,<p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>,,,,,False,False,False,,,,,,,,,,152,Offices_54,,
28,"USA West Province, Jesuits","USA West Province, Jesuits",012Ps000002fU2eIAE,,,PO Box 86010,Portland,OR,97286,,503-226-6977,503-228-6741,uweprovince@jesuits.org,https://jesuitswest.org/,<p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>,,,,,False,False,False,3215 SE 45th Ave,,,,,,,,,152,Offices_55,,
29,Providence Milwaukie Hospital Pastoral Care,Providence Milwaukie Hospital Pastoral Care,012Ps000002fU2eIAE,,,10150 SE 32nd Ave,Milwaukie,OR,97222,,503-513-8172,,,,<p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>,,,,,False,False,False,,,,,,,,,,152,Offices_56,,
30,Providence Newberg Medical Center Pastoral Care,Providence Newberg Medical Center Pastoral Care,012Ps000002fU2eIAE,,,1001 Providence Drive,Newberg,OR,97132,,503-537-1749,,,,<p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>,,,,,False,False,False,,,,,,,,,,152,Offices_57,,
