mbfc__Affiliation__c,adpdx_Archdiocesan_Assignment__c,mbfc__Duty_Load__c,mbfc__Start_Date__c,mbfc__Completion_Date__c,mbfc__Category__c,mbfc__Use_Custom_Title__c,mbfc__Custom_Title__c,mbfc__Context__c,mbfc__Person__c,Archdpdx_Migration_Id__c,Archdpdx_Job_Id__c
PNAC Summer Assignment,True,Full Time,2025-07-01,2025-09-30,Any All,True,PNAC Summer Assignment,001Ps00000l54fzIAA,003Ps00000frkX0IAI,3827,156
Tribunal Internship,True,Full Time,2025-07-01,2025-09-30,Any All,True,Tribunal Internship,001Ps00000l54frIAA,003Ps00000frjrVIAQ,3826,156
Summer Assignment,True,Full Time,2025-07-01,2025-09-30,Any All,True,Summer Assignment,001Ps00000l5CUJIA2,003Ps00000frkedIAA,3825,156
IPF,True,Full Time,2025-07-01,2025-08-31,Any All,True,IPF,001Ps00000l54fzIAA,003Ps00000frktCIAQ,3824,156
Summer Assignment,True,Full Time,2025-06-01,2025-08-31,Any All,True,Summer Assignment,001Ps00000l5CUdIAM,003Ps00000frjiFIAQ,3823,156
IPF Help,True,Full Time,2025-06-01,2025-08-31,Any All,True,IPF Help,001Ps00000l54fzIAA,003Ps00000frklKIAQ,3822,156
Transitional Deacon,True,Full Time,2025-06-22,,Any All,True,Transitional Deacon,001Ps00000l5CV2IAM,003Ps00000frlWVIAY,3821,156
Transitional Deacon,True,Full Time,2025-06-22,,Any All,True,Transitional Deacon,001Ps00000l5CUhIAM,003Ps00000frjn8IAA,3820,156
Summer Assignment,True,Full Time,2025-06-01,2025-08-31,Any All,True,Summer Assignment,001Ps00000l54fsIAA,003Ps00000frjnAIAQ,3819,156
Summer Assignment,True,Full Time,2025-06-01,2025-08-31,Any All,True,Summer Assignment,001Ps00000l5CUwIAM,003Ps00000frkD2IAI,3818,156
Summer Assignment,True,Full Time,2025-06-01,2025-08-31,Any All,True,Summer Assignment,001Ps00000l5CUwIAM,003Ps00000frkQtIAI,3817,156
IPF Help,True,Full Time,2025-06-01,2025-08-31,Any All,True,IPF Help,001Ps00000l54fzIAA,003Ps00000frkmrIAA,3816,156
Summer Assignment,True,Full Time,2025-06-01,2025-08-31,Any All,True,Summer Assignment,001Ps00000l54fsIAA,003Ps00000frjqhIAA,3815,156
COR Expeditions,True,Full Time,2025-06-01,2025-08-31,Any All,True,COR Expeditions,001Ps00000l54fzIAA,003Ps00000frkGBIAY,3814,156
Summer Assignment,True,Full Time,2025-06-01,2025-08-31,Any All,True,Summer Assignment,001Ps00000l54gjIAA,003Ps00000frkg7IAA,3813,156
Rome Experience,True,Full Time,2025-06-01,2025-08-31,Any All,True,Rome Experience,001Ps00000l54fzIAA,003Ps00000frkgbIAA,3812,156
Summer Assignment,True,Full Time,2025-06-01,2025-08-31,Any All,True,Summer Assignment,001Ps00000l54gjIAA,003Ps00000frjvnIAA,3811,156
Rome Experience,True,Full Time,2025-06-01,2025-08-31,Any All,True,Rome Experience,001Ps00000l54fzIAA,003Ps00000frlijIAA,3810,156
Vocations Media Internship,True,Full Time,2025-06-01,2025-08-31,Any All,True,Vocations Media Internship,001Ps00000l54fzIAA,003Ps00000frjNSIAY,3809,156
Vocations Media Internship,True,Full Time,2025-06-01,2025-08-31,Any All,True,Vocations Media Internship,001Ps00000l54fzIAA,003Ps00000frkt7IAA,3808,156
IPF Help,True,Full Time,2025-06-01,2025-08-31,Any All,True,IPF Help,001Ps00000l54fzIAA,003Ps00000frkO9IAI,3807,156
Summer Assignment,True,Full Time,2025-06-01,2025-08-31,Any All,True,Summer Assignment,001Ps00000l5CUwIAM,003Ps00000frkIYIAY,3805,156
