,Name,mbfc__Abbreviation__c,mbfc__Religious_Suffix__c,mbfc__Type_Members__c,Archdpdx_Migration_Id__c,Pontifical_or_Diocesan_Order__c,Religious_Secular_Order__c,mbfc__Religious_Type__c,RecordTypeId
186,Societas Iesu,Jesuits,SJ,Men,societasiesu,,Religious Order,Congregation,012Dx0000003p52IAA
187,Ordo Cisterciensis Strictioris Observantiae,Trappists,OCSO,Men,ordocisterciensisstrictiorisobservantiae,Pontifical Order,Religious Order,Congregation,012Dx0000003p52IAA
189,Ordo Sancti Benedicti,Benedictines,OSB,Men,ordosanctibenedicti,,Religious Order,Congregation,012Dx0000003p52IAA
190,Misioneros del Espíritu Santo,"Missionaries of the Holy Spirit, Christ the Priest",MSpS,Men,misionerosdelespíritusanto,,,Congregation,012Dx0000003p52IAA
191,Apostles of Jesus,Apostles of Jesus,AJ,Men,apostlesofjesus,Diocesan Order,Religious Order,Congregation,012Dx0000003p52IAA
192,Franciscan Sisters of the Eucharist,Franciscan Sisters of the Eucharist,FSE,Women,franciscansistersoftheeucharist,Pontifical Order,Religious Order,Congregation,012Dx0000003p52IAA
193,Apostolic Life Community of Priests in the Opus Spiritus Sancti,Holy Spirit Fathers,ALCP,Men,apostoliclifecommunityofpriestsintheopus,,,Congregation,012Dx0000003p52IAA
194,Augustinians,Augustinians,OSA,Men,augustinians,,,Congregation,012Dx0000003p52IAA
197,Brotherhood of the People of Praise,Brotherhood of the People of Praise,,Men,brotherhoodofthepeopleofpraise,Diocesan Order,,Congregation,012Dx0000003p52IAA
198,Ordo Carmelitarum Discalceatorum,Discalced Carmelite Friars,OCD,Men,ordocarmelitarumdiscalceatorum,,Religious Order,Congregation,012Dx0000003p52IAA
199,Ordo Praedicatorum,Dominicans,OP,Men,ordopraedicatorum,,,Congregation,012Dx0000003p52IAA
200,Domus Dei Clerical Society of Apostolic Life,Domus Dei,SDD,Men,domusdeiclericalsocietyofapostoliclife,,Religious Order,Congregation,012Dx0000003p52IAA
201,Ordo Fratrum Minorum Province of Saint Barbara,Franciscans,OFM,Men,ordofratrumminorumprovinceofsaintbarbara,,Religious Order,Congregation,012Dx0000003p52IAA
202,Congregatio a Sancta Cruce,Holy Cross,CSC,Men,congregatioasanctacruce,,Religious Order,Congregation,012Dx0000003p52IAA
203,Sociedad San Juan,Saint John Society,SSJ,Men,sociedadsanjuan,,,Congregation,012Dx0000003p52IAA
204,Ordo Servorum Beatae Mariae Virginis,Servites,OSM,Men,ordoservorumbeataemariaevirginis,,Religious Order,Congregation,012Dx0000003p52IAA
205,Adorers of the Holy Cross,Adorers of the Holy Cross,MTG,Women,adorersoftheholycross,,,Congregation,012Dx0000003p52IAA
206,Dominican Sisters of Adrian,Dominicans,OP,Women,dominicansistersofadrian,Pontifical Order,,Congregation,012Dx0000003p52IAA
209,Congregación de Oblatas de Santa Marta,Servites,OSM,Women,congregacióndeoblatasdesantamarta,,,Congregation,012Dx0000003p52IAA
210,Sisters of St. Dominic of Caldwell,Sisters of St. Dominic,OP,Women,sistersofst.dominicofcaldwell,,Religious Order,Congregation,012Dx0000003p52IAA
211,Franciscan Missionary Sisters of Our Lady of Sorrows,Franciscans,OSF,Women,franciscanmissionarysistersofourladyofso,Diocesan Order,Religious Order,Congregation,012Dx0000003p52IAA
212,Apostolic Life Community of Sisters,Holy Spirit Sisters,ALCS,Women,apostoliclifecommunityofsisters,Pontifical Order,Religious Order,Congregation,012Dx0000003p52IAA
213,Lovers of Thuthiem Holy Cross Sisters,Thu Thiem Sisters,LHC,Women,loversofthuthiemholycrosssisters,,,Congregation,012Dx0000003p52IAA
214,Maryknoll Sisters of St. Dominic,Maryknoll Sisters,MM,Women,maryknollsistersofst.dominic,Pontifical Order,Religious Order,Congregation,012Dx0000003p52IAA
215,Misioneros del Rosario de Fátima,Missionaries of the Rosary of Fatima,HMRF,Women,misionerosdelrosariodefátima,Diocesan Order,,Congregation,012Dx0000003p52IAA
216,Order of Servants of Mary,Servites,OSM,Women,orderofservantsofmary,,,Congregation,012Dx0000003p52IAA
217,Sisters For Christian Community,Sisters For Christian Community,SFCC,Women,sistersforchristiancommunity,,,Congregation,012Dx0000003p52IAA
218,Sisters of Charity of the Blessed Virgin Mary,Sisters of Charity of the Blessed Virgin Mary,BVM,Women,sistersofcharityoftheblessedvirginmary,Pontifical Order,Religious Order,Congregation,012Dx0000003p52IAA
219,Congregation of Our Lady of Charity of the Good Shepherd,Good Shepherd Sisters,RGS,Women,congregationofourladyofcharityofthegoods,,Religious Order,Congregation,012Dx0000003p52IAA
