Batch Number,Record,Success,Error
1,"{""Name"": ""Colombiere Jesuit Community, Portland (SJ)"", ""RecordTypeId"": ""012Ps000002fU2gIAE"", ""mbfc__Religious_Type__c"": ""Local Community"", ""BillingStreet"": ""3220 SE 43rd Ave"", ""BillingCity"": ""Portland"", ""BillingState"": ""OR"", ""BillingPostalCode"": ""97206"", ""BillingCountry"": null, ""Phone"": ""503-595-1941"", ""Fax"": null, ""mbfc__Email__c"": null, ""Website"": ""https://www.jesuitswest.org/"", ""mbfc__Abbreviation__c"": ""Jesuits"", ""mbfc__Religious_Suffix__c"": ""SJ"", ""mbfc__Type_Members__c"": ""Men"", ""Description"": ""Manager: Fr. Paul Cochran, SJ"", ""Job_Id__c"": 157, ""ParentId"": ""001Ps00000l5LiIIAU"", ""Archdpdx_Migration_Id__c"": ""RelCommunities_1""}",True,
1,"{""Name"": ""Our Lady of Guadalupe Trappist Abbey, Carlton (OCSO)"", ""RecordTypeId"": ""012Ps000002fU2gIAE"", ""mbfc__Religious_Type__c"": ""Local Community"", ""BillingStreet"": ""Our Lady of Guadalupe Trappist Abbey\n9200 NE Abbey Rd"", ""BillingCity"": ""Carlton"", ""BillingState"": ""OR"", ""BillingPostalCode"": ""97111"", ""BillingCountry"": null, ""Phone"": ""503-852-7174"", ""Fax"": ""503-852-7748"", ""mbfc__Email__c"": ""community@trappistabbey.org"", ""Website"": ""http://www.trappistabbey.org/"", ""mbfc__Abbreviation__c"": ""Trappists"", ""mbfc__Religious_Suffix__c"": ""OCSO"", ""mbfc__Type_Members__c"": ""Men"", ""Description"": ""The cloistered monastic cistercian community serves the Abbey of Our Lady of Guadalupe, which includes a retreat house, wine warehouse, and fruitcake bakery."", ""Job_Id__c"": 157, ""ParentId"": ""001Ps00000l5LiJIAU"", ""Archdpdx_Migration_Id__c"": ""RelCommunities_2""}",True,
1,"{""Name"": ""JCCU Jesuit Tertianship, Portland (SJ)"", ""RecordTypeId"": ""012Ps000002fU2gIAE"", ""mbfc__Religious_Type__c"": ""Local Community"", ""BillingStreet"": ""3301 SE 45th Ave"", ""BillingCity"": ""Portland"", ""BillingState"": ""OR"", ""BillingPostalCode"": ""97206"", ""BillingCountry"": null, ""Phone"": null, ""Fax"": null, ""mbfc__Email__c"": ""jctertianship@jesuits.org"", ""Website"": null, ""mbfc__Abbreviation__c"": ""Jesuits"", ""mbfc__Religious_Suffix__c"": ""SJ"", ""mbfc__Type_Members__c"": ""Men"", ""Description"": null, ""Job_Id__c"": 157, ""ParentId"": ""001Ps00000l5LiIIAU"", ""Archdpdx_Migration_Id__c"": ""RelCommunities_3""}",True,
1,"{""Name"": ""Benedictine Monks of Mount Angel Abbey, Saint Benedict (OSB)"", ""RecordTypeId"": ""012Ps000002fU2gIAE"", ""mbfc__Religious_Type__c"": ""Local Community"", ""BillingStreet"": ""1 Abbey Dr"", ""BillingCity"": ""Saint Benedict"", ""BillingState"": ""OR"", ""BillingPostalCode"": ""97373"", ""BillingCountry"": null, ""Phone"": ""503-845-3030"", ""Fax"": null, ""mbfc__Email__c"": ""info@mtangelabbey.edu"", ""Website"": ""https://www.mountangelabbey.org/"", ""mbfc__Abbreviation__c"": ""Benedictines"", ""mbfc__Religious_Suffix__c"": ""OSB"", ""mbfc__Type_Members__c"": ""Men"", ""Description"": ""Serving Mount Angel Towers, Providence Benedectine Nursing Center, Queen of Angels Monastery, St. Mary Parish in Mount Angel, and Crooked Finger Mission in Scotts Mills"", ""Job_Id__c"": 157, ""ParentId"": ""001Ps00000l5LiKIAU"", ""Archdpdx_Migration_Id__c"": ""RelCommunities_4""}",True,
1,"{""Name"": ""Missionaries of the Holy Spirit Provincial House, Milwaukie (MSpS)"", ""RecordTypeId"": ""012Ps000002fU2gIAE"", ""mbfc__Religious_Type__c"": ""Local Community"", ""BillingStreet"": ""PO Box 22387"", ""BillingCity"": ""Milwaukie"", ""BillingState"": ""OR"", ""BillingPostalCode"": ""97269"", ""BillingCountry"": null, ""Phone"": ""503-324-2492"", ""Fax"": ""503-324-2493"", ""mbfc__Email__c"": null, ""Website"": ""www.mspscpp.org"", ""mbfc__Abbreviation__c"": ""Missionaries of the Holy Spirit, Christ the Priest"", ""mbfc__Religious_Suffix__c"": ""MSpS"", ""mbfc__Type_Members__c"": ""Men"", ""Description"": null, ""Job_Id__c"": 157, ""ParentId"": ""001Ps00000l5LiLIAU"", ""Archdpdx_Migration_Id__c"": ""RelCommunities_8""}",True,
1,"{""Name"": ""Apostles of Jesus, Beaverton (AJ)"", ""RecordTypeId"": ""012Ps000002fU2gIAE"", ""mbfc__Religious_Type__c"": ""Local Community"", ""BillingStreet"": ""4615 SW 148th Ave"", ""BillingCity"": ""Beaverton"", ""BillingState"": ""OR"", ""BillingPostalCode"": ""97078"", ""BillingCountry"": null, ""Phone"": ""503-544-6677"", ""Fax"": null, ""mbfc__Email__c"": null, ""Website"": ""https://www.apostlesofjesusmissionaries.com/usa-region/"", ""mbfc__Abbreviation__c"": ""Apostles of Jesus"", ""mbfc__Religious_Suffix__c"": ""AJ"", ""mbfc__Type_Members__c"": ""Men"", ""Description"": ""Serving Providence St. Vincent Medical Center and Providence Portland Medical Center, Portland; St. Mary, Star of the Sea Parish, Astoria; St. Mary by the Sea Parish, Rockaway; St. Luke Parish, Woodburn; St. Joseph Parish, Salem."", ""Job_Id__c"": 157, ""ParentId"": ""001Ps00000l5LiMIAU"", ""Archdpdx_Migration_Id__c"": ""RelCommunities_9""}",True,
1,"{""Name"": ""Franciscan Sisters of the Eucharist, Bridal Veil (FSE)"", ""RecordTypeId"": ""012Ps000002fU2gIAE"", ""mbfc__Religious_Type__c"": ""Local Community"", ""BillingStreet"": ""Franciscan Sisters of the Eucharist\nPO Box 23"", ""BillingCity"": ""Bridal Veil"", ""BillingState"": ""OR"", ""BillingPostalCode"": ""97010"", ""BillingCountry"": null, ""Phone"": ""503-695-2375"", ""Fax"": ""503-695-2368"", ""mbfc__Email__c"": ""bridalveil@fsecommunity.org"", ""Website"": ""https://fsecommunity.org/"", ""mbfc__Abbreviation__c"": ""Franciscan Sisters of the Eucharist"", ""mbfc__Religious_Suffix__c"": ""FSE"", ""mbfc__Type_Members__c"": ""Women"", ""Description"": ""Serving Franciscan Montessori Earth School and the Archdiocese of Portland"", ""Job_Id__c"": 157, ""ParentId"": ""001Ps00000l5LiNIAU"", ""Archdpdx_Migration_Id__c"": ""RelCommunities_10""}",True,
1,"{""Name"": ""Apostolic Life Community, Portland (ALCP)"", ""RecordTypeId"": ""012Ps000002fU2gIAE"", ""mbfc__Religious_Type__c"": ""Local Community"", ""BillingStreet"": ""175 S 13th St"", ""BillingCity"": ""Saint Helens"", ""BillingState"": ""OR"", ""BillingPostalCode"": ""97051"", ""BillingCountry"": null, ""Phone"": ""503-397-0148 x203"", ""Fax"": null, ""mbfc__Email__c"": ""nmarandu@archdpdx.org"", ""Website"": null, ""mbfc__Abbreviation__c"": ""Holy Spirit Fathers"", ""mbfc__Religious_Suffix__c"": ""ALCP"", ""mbfc__Type_Members__c"": ""Men"", ""Description"": ""Serving Immaculate Heart Parish, Portland; St. Frederic Parish, St. Helens; Our Lady of Victory Parish, Seaside; St. Boniface Parish, Sublimity; and St. Peter the Fisherman Mission, Arch Cape."", ""Job_Id__c"": 157, ""ParentId"": ""001Ps00000l5LiOIAU"", ""Archdpdx_Migration_Id__c"": ""RelCommunities_11""}",True,
1,"{""Name"": ""Blessed Stephen Bellesini Community, San Diego, CA (OSA)"", ""RecordTypeId"": ""012Ps000002fU2gIAE"", ""mbfc__Religious_Type__c"": ""Local Community"", ""BillingStreet"": ""c/o Chancellor\n3180 University Ave Ste 255"", ""BillingCity"": ""San Diego"", ""BillingState"": ""CA"", ""BillingPostalCode"": ""92104"", ""BillingCountry"": null, ""Phone"": ""619-235-0247"", ""Fax"": null, ""mbfc__Email__c"": null, ""Website"": ""https://www.californiaaugustinians.org/"", ""mbfc__Abbreviation__c"": ""Augustinians"", ""mbfc__Religious_Suffix__c"": ""OSA"", ""mbfc__Type_Members__c"": ""Men"", ""Description"": ""Serving Providence Medford Medical Center as Chaplain"", ""Job_Id__c"": 157, ""ParentId"": ""001Ps00000l5LiPIAU"", ""Archdpdx_Migration_Id__c"": ""RelCommunities_12""}",True,
1,"{""Name"": ""Canisius Jesuit Community at Jesuit High School, Beaverton (SJ)"", ""RecordTypeId"": ""012Ps000002fU2gIAE"", ""mbfc__Religious_Type__c"": ""Local Community"", ""BillingStreet"": ""Canisius Jesuit Community\n9000 SW Beaverton Hillsdale Hwy"", ""BillingCity"": ""Portland"", ""BillingState"": ""OR"", ""BillingPostalCode"": ""97225"", ""BillingCountry"": null, ""Phone"": ""503-716-6522"", ""Fax"": null, ""mbfc__Email__c"": null, ""Website"": null, ""mbfc__Abbreviation__c"": ""Jesuits"", ""mbfc__Religious_Suffix__c"": ""SJ"", ""mbfc__Type_Members__c"": ""Men"", ""Description"": ""Serving Jesuit High School and Providence Medical Center, Portland."", ""Job_Id__c"": 157, ""ParentId"": ""001Ps00000l5LiIIAU"", ""Archdpdx_Migration_Id__c"": ""RelCommunities_13""}",True,
