Batch Number,Record,Success,Error
1,"{""Name"": ""Pastoral Center"", ""Formal_Name__c"": ""Pastoral Center"", ""RecordTypeId"": ""012Ps000002fU2eIAE"", ""mbfc__Church_Type__c"": null, ""mbfc__Deanery__c"": null, ""BillingStreet"": ""2838 E Burnside St"", ""BillingCity"": ""Portland"", ""BillingState"": ""OR"", ""BillingPostalCode"": 97214, ""BillingCountry"": null, ""Phone"": ""503-234-5334"", ""Fax"": ""503-234-2545"", ""mbfc__Email__c"": ""commdir@archdpdx.org"", ""Website"": ""http://www.archdpdx.org/"", ""mbfc__Mass_Times__c"": ""<p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>"", ""mbfc__Abbreviation__c"": null, ""mbfc__Religious_Suffix__c"": null, ""mbfc__Type_Members__c"": null, ""Description"": null, ""Archdiocese_Assigns_Clergy__c"": true, ""mbfc__Non_Latin__c"": false, ""Disabled_Access__c"": false, ""Locator_Description__c"": null, ""Parent_Parish__c"": null, ""mbfc__Date_Established__c"": null, ""County__c"": null, ""Sanctuary_Capacity__c"": null, ""Religious_Secular_Order__c"": null, ""Pontifical_or_Diocesan_Order__c"": null, ""Archdiocesan_School_Code__c"": null, ""Grades_Provided__c"": null, ""Job_Id__c"": 152, ""Archdpdx_Migration_Id__c"": ""Offices_1"", ""mbfc__Organization_Type__c"": null, ""ParentId"": null}",True,
1,"{""Name"": ""Catholic Cemeteries"", ""Formal_Name__c"": ""Catholic Cemeteries"", ""RecordTypeId"": ""012Ps000002fU2eIAE"", ""mbfc__Church_Type__c"": null, ""mbfc__Deanery__c"": null, ""BillingStreet"": ""333 SW Skyline Blvd"", ""BillingCity"": ""Portland"", ""BillingState"": ""OR"", ""BillingPostalCode"": 97221, ""BillingCountry"": null, ""Phone"": ""503-292-6621"", ""Fax"": null, ""mbfc__Email__c"": null, ""Website"": ""http://www.ccpdxor.com/"", ""mbfc__Mass_Times__c"": ""<p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>"", ""mbfc__Abbreviation__c"": null, ""mbfc__Religious_Suffix__c"": null, ""mbfc__Type_Members__c"": null, ""Description"": null, ""Archdiocese_Assigns_Clergy__c"": false, ""mbfc__Non_Latin__c"": false, ""Disabled_Access__c"": false, ""Locator_Description__c"": null, ""Parent_Parish__c"": null, ""mbfc__Date_Established__c"": null, ""County__c"": null, ""Sanctuary_Capacity__c"": null, ""Religious_Secular_Order__c"": null, ""Pontifical_or_Diocesan_Order__c"": null, ""Archdiocesan_School_Code__c"": null, ""Grades_Provided__c"": null, ""Job_Id__c"": 152, ""Archdpdx_Migration_Id__c"": ""Offices_4"", ""mbfc__Organization_Type__c"": null, ""ParentId"": null}",True,
1,"{""Name"": ""Griffin Center"", ""Formal_Name__c"": ""Griffin Center"", ""RecordTypeId"": ""012Ps000002fU2eIAE"", ""mbfc__Church_Type__c"": null, ""mbfc__Deanery__c"": null, ""BillingStreet"": ""11957 SE Fuller Rd"", ""BillingCity"": ""Milwaukie"", ""BillingState"": ""OR"", ""BillingPostalCode"": 97222, ""BillingCountry"": null, ""Phone"": ""503-652-7476"", ""Fax"": null, ""mbfc__Email__c"": ""hwycoff@archdpdx.org"", ""Website"": ""http://www.griffincenterportland.org/"", ""mbfc__Mass_Times__c"": ""<p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>"", ""mbfc__Abbreviation__c"": null, ""mbfc__Religious_Suffix__c"": null, ""mbfc__Type_Members__c"": null, ""Description"": null, ""Archdiocese_Assigns_Clergy__c"": false, ""mbfc__Non_Latin__c"": false, ""Disabled_Access__c"": false, ""Locator_Description__c"": null, ""Parent_Parish__c"": null, ""mbfc__Date_Established__c"": null, ""County__c"": null, ""Sanctuary_Capacity__c"": null, ""Religious_Secular_Order__c"": null, ""Pontifical_or_Diocesan_Order__c"": null, ""Archdiocesan_School_Code__c"": null, ""Grades_Provided__c"": null, ""Job_Id__c"": 152, ""Archdpdx_Migration_Id__c"": ""Offices_6"", ""mbfc__Organization_Type__c"": null, ""ParentId"": null}",True,
1,"{""Name"": ""Providence Portland Medical Center"", ""Formal_Name__c"": ""Providence Portland Medical Center"", ""RecordTypeId"": ""012Ps000002fU2eIAE"", ""mbfc__Church_Type__c"": null, ""mbfc__Deanery__c"": null, ""BillingStreet"": ""4805 NE Glisan St"", ""BillingCity"": ""Portland"", ""BillingState"": ""OR"", ""BillingPostalCode"": 97213, ""BillingCountry"": null, ""Phone"": ""503-215-6833"", ""Fax"": null, ""mbfc__Email__c"": null, ""Website"": null, ""mbfc__Mass_Times__c"": ""<p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>"", ""mbfc__Abbreviation__c"": null, ""mbfc__Religious_Suffix__c"": null, ""mbfc__Type_Members__c"": null, ""Description"": null, ""Archdiocese_Assigns_Clergy__c"": true, ""mbfc__Non_Latin__c"": false, ""Disabled_Access__c"": false, ""Locator_Description__c"": null, ""Parent_Parish__c"": null, ""mbfc__Date_Established__c"": null, ""County__c"": null, ""Sanctuary_Capacity__c"": null, ""Religious_Secular_Order__c"": null, ""Pontifical_or_Diocesan_Order__c"": null, ""Archdiocesan_School_Code__c"": null, ""Grades_Provided__c"": null, ""Job_Id__c"": 152, ""Archdpdx_Migration_Id__c"": ""Offices_11"", ""mbfc__Organization_Type__c"": null, ""ParentId"": null}",True,
1,"{""Name"": ""Providence St. Vincent Medical Center"", ""Formal_Name__c"": ""Providence St. Vincent Medical Center"", ""RecordTypeId"": ""012Ps000002fU2eIAE"", ""mbfc__Church_Type__c"": null, ""mbfc__Deanery__c"": null, ""BillingStreet"": ""9205 SW Barnes Rd"", ""BillingCity"": ""Portland"", ""BillingState"": ""OR"", ""BillingPostalCode"": 97213, ""BillingCountry"": null, ""Phone"": ""503-216-2261"", ""Fax"": null, ""mbfc__Email__c"": null, ""Website"": null, ""mbfc__Mass_Times__c"": ""<p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>"", ""mbfc__Abbreviation__c"": null, ""mbfc__Religious_Suffix__c"": null, ""mbfc__Type_Members__c"": null, ""Description"": null, ""Archdiocese_Assigns_Clergy__c"": true, ""mbfc__Non_Latin__c"": false, ""Disabled_Access__c"": false, ""Locator_Description__c"": null, ""Parent_Parish__c"": null, ""mbfc__Date_Established__c"": null, ""County__c"": null, ""Sanctuary_Capacity__c"": null, ""Religious_Secular_Order__c"": null, ""Pontifical_or_Diocesan_Order__c"": null, ""Archdiocesan_School_Code__c"": null, ""Grades_Provided__c"": null, ""Job_Id__c"": 152, ""Archdpdx_Migration_Id__c"": ""Offices_12"", ""mbfc__Organization_Type__c"": null, ""ParentId"": null}",True,
1,"{""Name"": ""National Sanctuary of Our Sorrowful Mother (The Grotto)"", ""Formal_Name__c"": ""National Sanctuary of Our Sorrowful Mother (The Grotto)"", ""RecordTypeId"": ""012Ps000002fU2eIAE"", ""mbfc__Church_Type__c"": null, ""mbfc__Deanery__c"": null, ""BillingStreet"": ""PO Box 20008"", ""BillingCity"": ""Portland"", ""BillingState"": ""OR"", ""BillingPostalCode"": 97294, ""BillingCountry"": null, ""Phone"": ""503-254-7371"", ""Fax"": ""503-254-7948"", ""mbfc__Email__c"": ""office@thegrotto.org"", ""Website"": ""https://thegrotto.org/"", ""mbfc__Mass_Times__c"": ""<p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>"", ""mbfc__Abbreviation__c"": null, ""mbfc__Religious_Suffix__c"": null, ""mbfc__Type_Members__c"": null, ""Description"": null, ""Archdiocese_Assigns_Clergy__c"": false, ""mbfc__Non_Latin__c"": false, ""Disabled_Access__c"": false, ""Locator_Description__c"": ""8840 NE Skidmore St"", ""Parent_Parish__c"": null, ""mbfc__Date_Established__c"": null, ""County__c"": null, ""Sanctuary_Capacity__c"": null, ""Religious_Secular_Order__c"": null, ""Pontifical_or_Diocesan_Order__c"": null, ""Archdiocesan_School_Code__c"": null, ""Grades_Provided__c"": null, ""Job_Id__c"": 152, ""Archdpdx_Migration_Id__c"": ""Offices_14"", ""mbfc__Organization_Type__c"": null, ""ParentId"": null}",True,
1,"{""Name"": ""Southern Oregon VA Rehabilitation Center"", ""Formal_Name__c"": ""Southern Oregon VA Rehabilitation Center"", ""RecordTypeId"": ""012Ps000002fU2eIAE"", ""mbfc__Church_Type__c"": null, ""mbfc__Deanery__c"": null, ""BillingStreet"": ""8495 Crater Lake Hwy"", ""BillingCity"": ""White City"", ""BillingState"": ""OR"", ""BillingPostalCode"": 97503, ""BillingCountry"": null, ""Phone"": ""541-826-2111 x3318"", ""Fax"": null, ""mbfc__Email__c"": null, ""Website"": ""https://www.southernoregon.va.gov/index.asp"", ""mbfc__Mass_Times__c"": ""<p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>"", ""mbfc__Abbreviation__c"": null, ""mbfc__Religious_Suffix__c"": null, ""mbfc__Type_Members__c"": null, ""Description"": null, ""Archdiocese_Assigns_Clergy__c"": false, ""mbfc__Non_Latin__c"": false, ""Disabled_Access__c"": false, ""Locator_Description__c"": null, ""Parent_Parish__c"": null, ""mbfc__Date_Established__c"": null, ""County__c"": null, ""Sanctuary_Capacity__c"": null, ""Religious_Secular_Order__c"": null, ""Pontifical_or_Diocesan_Order__c"": null, ""Archdiocesan_School_Code__c"": null, ""Grades_Provided__c"": null, ""Job_Id__c"": 152, ""Archdpdx_Migration_Id__c"": ""Offices_18"", ""mbfc__Organization_Type__c"": null, ""ParentId"": null}",True,
1,"{""Name"": ""Clergy"", ""Formal_Name__c"": ""Clergy"", ""RecordTypeId"": ""012Ps000002fU2eIAE"", ""mbfc__Church_Type__c"": null, ""mbfc__Deanery__c"": null, ""BillingStreet"": ""2838 E Burnside St"", ""BillingCity"": ""Portland"", ""BillingState"": ""OR"", ""BillingPostalCode"": 97214, ""BillingCountry"": null, ""Phone"": ""503-233-8368"", ""Fax"": ""503-230-1477"", ""mbfc__Email__c"": ""clergy@archdpdx.org"", ""Website"": ""http://www.archdpdx.org/vicar-for-clergy"", ""mbfc__Mass_Times__c"": ""<p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>"", ""mbfc__Abbreviation__c"": null, ""mbfc__Religious_Suffix__c"": null, ""mbfc__Type_Members__c"": null, ""Description"": null, ""Archdiocese_Assigns_Clergy__c"": true, ""mbfc__Non_Latin__c"": false, ""Disabled_Access__c"": false, ""Locator_Description__c"": null, ""Parent_Parish__c"": null, ""mbfc__Date_Established__c"": null, ""County__c"": null, ""Sanctuary_Capacity__c"": null, ""Religious_Secular_Order__c"": null, ""Pontifical_or_Diocesan_Order__c"": null, ""Archdiocesan_School_Code__c"": null, ""Grades_Provided__c"": null, ""Job_Id__c"": 152, ""Archdpdx_Migration_Id__c"": ""Offices_21"", ""mbfc__Organization_Type__c"": null, ""ParentId"": null}",True,
1,"{""Name"": ""Vocations"", ""Formal_Name__c"": ""Vocations"", ""RecordTypeId"": ""012Ps000002fU2eIAE"", ""mbfc__Church_Type__c"": null, ""mbfc__Deanery__c"": null, ""BillingStreet"": ""2838 E Burnside St"", ""BillingCity"": ""Portland"", ""BillingState"": ""OR"", ""BillingPostalCode"": 97214, ""BillingCountry"": null, ""Phone"": ""503-233-8368"", ""Fax"": ""503-230-1477"", ""mbfc__Email__c"": ""vocations@archdpdx.org"", ""Website"": ""https://www.archdpdxvocations.org/"", ""mbfc__Mass_Times__c"": ""<p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>"", ""mbfc__Abbreviation__c"": null, ""mbfc__Religious_Suffix__c"": null, ""mbfc__Type_Members__c"": null, ""Description"": null, ""Archdiocese_Assigns_Clergy__c"": true, ""mbfc__Non_Latin__c"": false, ""Disabled_Access__c"": false, ""Locator_Description__c"": null, ""Parent_Parish__c"": null, ""mbfc__Date_Established__c"": null, ""County__c"": null, ""Sanctuary_Capacity__c"": null, ""Religious_Secular_Order__c"": null, ""Pontifical_or_Diocesan_Order__c"": null, ""Archdiocesan_School_Code__c"": null, ""Grades_Provided__c"": null, ""Job_Id__c"": 152, ""Archdpdx_Migration_Id__c"": ""Offices_22"", ""mbfc__Organization_Type__c"": null, ""ParentId"": null}",True,
1,"{""Name"": ""Our Lady of Peace Retreat"", ""Formal_Name__c"": ""Our Lady of Peace Retreat"", ""RecordTypeId"": ""012Ps000002fU2eIAE"", ""mbfc__Church_Type__c"": null, ""mbfc__Deanery__c"": null, ""BillingStreet"": ""3600 SW 170th Ave"", ""BillingCity"": ""Beaverton"", ""BillingState"": ""OR"", ""BillingPostalCode"": 97003, ""BillingCountry"": null, ""Phone"": ""503-649-7127"", ""Fax"": ""503-259-9507"", ""mbfc__Email__c"": ""sisters@olpretreat.org"", ""Website"": ""http://olpretreat.org/"", ""mbfc__Mass_Times__c"": ""<p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p><p><strong></strong></p><p></p><p><br></p>"", ""mbfc__Abbreviation__c"": null, ""mbfc__Religious_Suffix__c"": null, ""mbfc__Type_Members__c"": null, ""Description"": null, ""Archdiocese_Assigns_Clergy__c"": false, ""mbfc__Non_Latin__c"": false, ""Disabled_Access__c"": false, ""Locator_Description__c"": null, ""Parent_Parish__c"": null, ""mbfc__Date_Established__c"": null, ""County__c"": null, ""Sanctuary_Capacity__c"": null, ""Religious_Secular_Order__c"": null, ""Pontifical_or_Diocesan_Order__c"": null, ""Archdiocesan_School_Code__c"": null, ""Grades_Provided__c"": null, ""Job_Id__c"": 152, ""Archdpdx_Migration_Id__c"": ""Offices_23"", ""mbfc__Organization_Type__c"": null, ""ParentId"": null}",True,
